名词(中文)	名词(英文)	解释(中文)	解释(英文)
边花	Ray	菊科舌状花的舌形部分（或舌状花本身）。	The strap-like portion of a ligulate flower (or the ligulate flower itself) in Compositae (Asteraceae).
囊	Sac	袋状结构。	A bag-like structure.
鳞片	Scale	任何薄而扁平的膜质结构。	Any thin, flat, scarious structure.
龙骨状的	Keeled	具脊，像船的龙骨。	Ridged, like the keel of a boat.
唇形的	Labiate	唇状；排列成唇形或呈唇形的。	Lipped; with parts which are arranged like lips or shaped like lips.
舌状的	Ligulate	舌形。	Strap-shaped.
舌状的	Liguliform	舌形。	Strap-shaped.
具浆片的	Paleolate	具浆片。	With a lodicule.
蝶形的	Papilionaceous	像蝴蝶，如豌豆的不整齐花冠，具有一枚旗瓣、两枚翼瓣和两枚龙骨瓣。	Butterfly-like, as the irregular corolla of a pea, with a banner petal, two wing petals, and two fused keel petals.
假面状的	Personate	具二唇，喉部被显著的突起（喉凸）封闭。	Two-lipped, with the throat closed by a prominent projection (palate).
折扇状的	Plicate	折或叠如折扇。	Plaited or folded, as a folding fan.
前伸的	Porrect	向前延伸；类似鹦鹉的喙。	Extended forward; resembling a parrot beak.
反折的	Reflexed	向后或向下弯曲。	Bent backward or downward.
开口的	Ringent	张开的；如一些花冠中的宽张的唇瓣。	Gaping; with widely spreading lips, as in some corollas.
辐状的	Rotate	盘形；平坦而圆，如合瓣花冠裂片平展，冠筒很短或无。	Disc-shaped; flat and circular, as a sympetalous corolla with widely spreading lobes and little or no tube.
囊状的	Saccate	具囊或呈囊形。	With a sac, or in the shape of a sac.
高脚碟状的	Salverform	冠筒细长，上部陡扁平张开。	With a slender tube and an abruptly spreading, flattened limb.
具距的	Spurred	具一枚或多枚距。	Bearing a spur or spurs.
舌状的	Strap-shaped	平而伸展。	Elongated and flat.
管状的	Tubular	形状如管或圆柱。	With the form of a tube or cylinder.
坛状的	Urceolate	像水罐；中空、口部缢缩如水罐或瓮。	Pitcher-like; hollow and contracted near the mouth like a pitcher or run.
坛状的	Urn-shaped	像水罐；中空、口部缢缩如水罐或瓮。	Pitcher-like; hollow and contracted near the mouth like a pitcher or run.
一侧臌的	Ventricose	仅在一侧膨大或鼓起，如某些花冠，尤其钓钟柳属。	Inflated or swollen on one side only, as in some corollas, especially in the genus Penstemon.
具翅的	Winged	具有翅。	Possessing wings.
雌雄蕊柄	Androgynophore	某些花中着生雄蕊和雌蕊的柄。	Stalk supporting the androecium and gynoecium in some flowers.
雄蕊柄	Androphore	着生一组雄蕊的柄。	Stalk supporting a group of stamens.
花药	Anther	雄蕊顶端产生花粉的膨大部位。	The expanded, apical, pollen bearing portion of the stamen.
药囊	Anther sac	花粉中产生花药的小室。	One of the pollen bearing chambers of the anther.
室	Cell	结构内的空腔或小室，如容纳花粉的花药室。	A hollow cavity or compartment within a structure, as the cavity of the anther containing pollen.
①柱②蕊柱	Column	雄蕊花丝联合形成的结构。兰科植物中花丝和花柱的联合体。图1810。	A structure formed by the union of staminal filaments. The united filaments and style in the Orchidaceae.
药隔	Connective	雄蕊上连接花药两个花粉囊的部分。	The portion of the stamen connecting the two pollen sacs of an anther.
花丝	Filament	雄蕊中支撑花药的柄。	The stalk of the stamen which supports the anther.
合蕊柱	Gynandrium	着生雄蕊和雌蕊的柱状结构。	A column bearing stamens and pistils.
萼片	Sepal	花萼的一个裂片。	A segment of the calyx.
凹缺	Sinus	花瓣两裂片之间的裂缺、凹陷或缺口。	The cleft, depression, or recess between two lobes of a petal.
距	Spur	萼片或花瓣、花萼或花冠上的、细小的、囊状、中空的附属结构。	A hollow, slender, sac-like appendage or a petal of sepal, or of the clayx or corolla.
鳞片	Squama (pl. squamae)	一种鳞片，如菊科冠毛的某些类型	A scale, as in some types of pappus in the Compositae (Asteraceae).
旗瓣	Standard	蝶形花冠的上方通常最大的花瓣，如豌豆和香豌豆。	The upper and usually largest petal of a papilionaceous flower, as in peas and sweet peas.
花被片	Tepal	无花萼和花冠之分的花被裂片。	A segment of a perianth which is not differentiated into calyx and corolla.
喉	Throat	合花冠或合生萼的开口，图 1792；冠筒与冠檐之间花冠的宽展部分。图 1793。	The orifice of a gamoptelous corolla or gamosepalous calyx; the expanded portion of the corolla between the limb and the tube.
旗瓣	Vexillum	如蝶形花冠上方通常最大的花瓣豌豆和香豌豆；旗瓣。	The upper and usually largest petal of a papilionaceous flower, as in peas and sweet peas; banner.
翼瓣	Wing	蝶形花冠两侧的花瓣。	One of the two lateral petals of a papilionaceous corolla.
无花被的	Achlamydeous	花被缺失。	Lacking a perianth.
无花瓣的	Apetalous	花瓣缺失。	Without petals.
离瓣的	Apopetalous	花瓣分离。	With separate petals.
离萼片的	Aposepalous	萼片分离。	With separate sepals.
无花萼的	Asepalous	萼片缺失。	Without sepals.
具双瓣的	Bipetalous	花瓣两枚。	With two petals.
副萼的	Calyculate	具环绕花萼的小苞片，如同外层的花萼。	With small bracts around the clayx, as if possessing an outer calyx.
单被的	Chlamydeous	具一轮花被。	With a floral whorl.
离瓣的	Choripetalous	花瓣分离	With separate petals.
两被的	Dichlamydeous	具两轮不同类型的花被，即花萼和花冠。	With two types of perianth whorls, I.e., calyx and corolla.
两瓣的	Dipetalous	花瓣两枚。	With two petals.
重瓣的	Double	花瓣数目较通常多出许多	Having a larger number of petals than usual.
无冠毛的	Epappose	冠毛缺失。	Without a pappus.
合瓣的	Gamopetalous	具联合或至少部分联合的花瓣。	With the petals united, at least partially.
合萼的	Gamosepalous	萼片联合。	With the sepals united. 
单被的	Monochlamydeous	仅具花被组分的一种。	With only one type of perianth member.
合瓣的	Monopetalous	具联合或至少部分联合的花瓣。	With the petals united, at least partially.
八瓣的	Octopetalous	具八枚花瓣。	With eight petals.
八萼的	Octosepalous	具八枚萼片。	With eight sepals.
具冠毛的	Pappiferous	有冠毛。	Pappose-bearing.
具冠毛的	Pappose	有冠毛。	Pappose-bearing.
具花瓣的	Petaliferous	有花瓣。	Bearing petals.
具花瓣的	Petalous	有花瓣。	With petals.
离瓣的	Polypetalous	具有由完全分离的花瓣组成的花冠。	With a corolla of completely separate petals.
离萼的	Polysepalous	具由分离的萼片组成的花萼。	With a calyx of separate sepals.
合瓣的	Sympetalous	花瓣联合，花瓣至少在近基部联合。	With the petals united, at least near the base.
合萼的	Synsepalous	萼片合生。	With united sepals.
四瓣的	Tetrapetalous	具有四枚花瓣。	With four petals.
三瓣的	Tripetalous	具有三瓣枚瓣。	With three petals.
单瓣的	Unipetalous	仅具有一枚花瓣。	With only a single petal.
渐增的，花后膨大的	Accrescent	逐渐增大，如花期后花萼继续增大。	Becoming larger with age, as a calyx which continues to enlarge after anthesis.
具翅的	Alate	有翅。	Winged。
膨大的	Ampliate	增大或扩展。	Enlarged or expanded.
二唇形的	Bilabiate	具二唇，见于许多不整齐花中。	Two-lipped, as in many irregular flowers.
具距的	Calcarate	具有距；有距的。	With a calcar; spurred.
鞋状的	Calceolate	鞋状或拖鞋状，如某些兰花的唇瓣。	Shoe-shaped or slipper-shaped, as the labellum of some orchids.
钟状的	Campanulate	钟形。	Bell-shaped.
具龙骨状隆起的	Carinate	龙骨状的。	Keeled.
具小角状突起的	Corniculate	具有小的角状突起物	With small horn-like protuberances.
具角状突起的	Cornute	具角。	Horned. See illustration for coniculate.
冕形冠状的	Coroniform	冠形。	Crown-shaped.
十字型的	Cruciate	十字交叉形的。	Cross-shaped
十字型的	Cruciform	十字交叉形的。	Cross-shaped
兜状的	Cucullate	有罩盖或兜帽形。	Hooded or hood-shaped.
平展的	Explanate	平向外展。	Spread out flat.
漏斗状的	Funnelform	自基部向端部逐渐变宽；型像漏斗。	Gradually widening from base to apex; funnel-shaped.
盔状的	Galeate	头盔形；具有盔瓣。	Helmet-shaped; with a galea.
盔状的	Galeiform	头盔形；具有盔瓣。	Helmet-shaped; with a galea.
浅囊状的	Gibbous	单侧鼓起或增大；一面鼓的。	Swollen or enlarged on one side; ventricose.
膨大的	Inflated	鼓起或膨胀；膀胱状的。	Swollen or expanded; bladdery.
漏斗状的	Infundibuliform	漏斗形。	Funnel-shaped. See illustration for funnelform.
雄蕊束	Phalange	由花丝联合在一起的两枚或多枚雄蕊。	Two or more stamens joined by their filaments.
雄蕊束	Phalanx	由花丝联合在一起的两枚或多枚雄蕊。	Two or more stamens joined by their filaments.
花粉	Pollen	由裸子植物的小孢子囊或被子植物的花粉产生的成熟小孢子或正在发育的雄配子体。	The mature microspore or developing male gametophyte of a seed plant, produced in the microsporangium of a gymnosperm or in the anther of an angiosperm.
花粉块	Pollinium (pl. pollinia)	在许多兰科和萝藦科植物中，作为传粉单位的蜡质花粉粒团。	A mass of waxy pollen grains transported as a unit in many members of the Orchidaceae and Asclepiadaceae.
囊	Sac	袋状小室，如花药室。	A bag-shaped-compartment, as the cavity of an anther.
花丝	Stalk	雄蕊中支撑花药的柄。	The stalk of the stamen which supports the anther.
雄蕊	Stamen （pl. stamens，stamina）	花的雄性生殖器官，由花药和花丝组成。	The male reproductive organ of a flower, consisting of an anther and filament.
退化雄蕊	Staminode（pl. staminodia）	不育的、不产生花粉的变态雄蕊。	A modified stamen which is sterile, producing no pollen.
退化雄蕊	Staminodium	不育的、不产生花粉的变态雄蕊。	A modified stamen which is sterile, producing no pollen.
缝	Suture	花药的开裂线。	The line of dehiscence of an anther.
①囊②室	Theca（pl. thecae）	花粉囊或花药室。	A pollen sac or cell of the anther.
载粉器	Translator	萝藦科植物相邻花药的花粉块之间的连接结构。	The connecting structure between the pollinia of adjacent anthers in the Asclepiacaceae.
败育的	Abortive	发育不充分或不正常的；不发育的。	Not fully or properly developed; rudimentary.
能育的	Fertile	能产生种子；能产生花粉。	Capable of bearing seeds; capable of bearing pollen.
显花丝和花药的	Filantherous	雄蕊具有明显花丝和花药。	Of a stamen with a distinct anther and filament.
不育的	Infertile	不育或不能生存。	Sterile or inviable.
瓣状雄蕊的	Petalantherous	具瓣状花丝的雄蕊。	Of a stamen with a petaloid filament.
瓣状的	Petaloid	外形花瓣状。	Petal-like in appearance.
具花粉的	Polliniferous	有花粉。	Bearing pollen.
不发育的	Rudimentary	发育不全的；退化的。	Imperfectly developed; vestigial.
不育的	Sterile	不育，如不产生花粉的雄蕊。	Infertile, as a stamen that does not bear pollen.
偏心的	Eccentric	偏离中心；不位于中轴上。	Off-center; not positioned directly on the central axis.
具柄的	Stipitate	着生在柄或梗上。	Borne on a stipe or stalk.
心皮有柱无柄的	Stylocarpellous	具花柱，但子房与花托之间无柄。	With a style, but without a stipe.
心皮有柱有柄的	Stylocarpepodic	具花柱及连接子房与花托的柄。	With a style and a stipe.
无心皮的	Acarpous	没有心皮。	Without carpels.
双心皮的	Bicarpellate	具两个心皮。	With two carpels.
具两心皮的	Dicarpellate	具两个心皮。	With two carpels.
具二离心皮的	Digynous	具两枚雌蕊。	With two pistils.
具单心皮的	Monocarpous	具一个心皮。	With one carpel.
皮层	Cortex	根表皮和中柱之间的。	Root tissue between the epidermis and the stele.
分生组织	Meristem	位于苗端和根端生长点的未分化、有活跃分裂能力的组织。	Undifferentiated, actively dividing tissues at the growing tips of shoots and roots.
髓	Pith	某些根中央的海绵状薄壁组织。	The spongy，parenchymatous central tissue in some roots.
细根	Rootlet	小根。	A small root.
中柱	Stele	根的初生维管结构。	The primary vascular structure of a root.
根瘤	Tubercule	根瘤，如某些豆科植物根上的瘤。	A nodule, as on the roots of some legumes.
纺锤形	Fusiform	形如纺锤状的，中部最宽，两端渐细。	Spindle-shaped; broadest near the middle and tapering toward both ends.
芜菁状的	Napiform	芜菁根状的。	Turnip-shaped.
芜菁状的	Rapiformis	芜菁根状的。	Turnip-shaped.
纺锤形的	Spindle-shaped	形如纺锤状的，中部最宽，两端渐细。	Spindle-shaped; broadest near the middle and tapering toward both ends.
陀螺状的	Turbinate	陀螺状的。	Top-shaped.
不定的	Adventitious	在非正常位置上发育出的结构或器官，如茎上长出的根。	Structures or organs developing in an unusual position, as roots originating on the stem.
气生的	Aerial	地面或水面之上发生的。	Occurring above ground or water.
板根的	Buttressed	用于支柱或支撑，如某些树的板状树干。	With props or supports, as in the flared trunks of some trees.
须根	Fibrous roots	由粗细相近无主次之分的根组成的根系，如禾草和其它单子叶植物的根。	A root system with all of the branches of approximately equal thickness,  as the grasses and other monocots.
吸器	Haustorium (pl. Haustoria)	寄生植物从寄主吸收营养物质的特化根状器官。	A specialized root-like organ used by parasitic plants to draw nourishment from host plants.
支柱根	Prop root	由下部茎节发出的、支撑茎的不定根。	Adventitious roots arising from lower nodes and providing support to a stem.
生根的	Radicant	匍匐茎节上生出的根。	A root arising from the node of a prostrate stem.
假根	Rhizoid	无输导组织（木质部和韧皮部）的根状结构。	A root-like structure lacking conductive tissues (xylem and phloem).
细根	Rootlet	小根。	A small root.
蕨根茎	Surculum	蕨类的根状茎。	A fern rhizome.
直根	Taproot	具有侧根的主根轴；由主根和侧根组成的根系，见于大多数双子叶植物。	The main root axis from which smaller root branches arise; a root system with a main root axis and smaller branches, as in most dicots.
块状根	Tuberoid	与块茎相似的加厚的根。	A thickened root which resembles a tuber.
根瘤	Tubercule	根瘤，如某些豆科植物根上的瘤。	A nodule, as on the roots of some legumes.
树皮	Bark	木质茎的最外层，包括形成层以外全部活的和死的组织。	The outermost layers of a woody stem including all of the living and nonliving tissues external to the cambium.
树干	Bole	树的分枝以下的主茎。	The main stem of a tree below the branches.
小枝	Branchlet	小的分枝。	A small branch.
芽	Bud	未发育的枝或花。	An undeveloped shoot or flower.
维管束痕	Bundle scar	叶脱落时维管束遗留在枝上的巴痕。	Scar left on a twig by the vascular bundles when a leaf falls.
形成层	Cambium	一种具有强烈分生能力的组织，向内产生木质部，向外产生韧皮部；一种侧生分生组织。	A tissue composed of cells capable of active cell division, producing xylem to the inside of the plant and phleom to the outside; a lateral meristem.
果皮	Pericarp	果实的壁 。	The wall of the fruit.
果核	Pit	核果的石质内果皮，如桃和樱桃。	The stony endocarp of a drupe, as in a peach or cherry.
胎座框	Replum	十字花科短角果或长角果中一室两心皮（假二室）之间的隔膜。	Partition or septum between the two valves or compartments of silicles or siliques in the Cruciferae (Brassicaceae).
种子	Seed	成熟的胚珠。	A ripened ovule.
果瓣	Segment	果实的一部分。	A section of a fruit
隔膜	Septum（pl. Septa）	隔，如子房室之间的隔。	A partition, as the partitions separating the locules of an ovary.
柄	Stipe	连接果实到花托的柄。	A stalk attaching the fruit to the receptacle.
核	Stone	核果中包裹种子的木质、坚硬内果皮。	The hard, woody endocarp enclosing the seed of a drupe.
(花)柱基	Stylopodium	伞形科植物花柱基部的盘状膨大。	A disk like expansion or enlargement at the base of the style on the Umbelliferae (Apiaceae).
缝	Suture	结合线；果实的开裂线。	A line of fusion;
瓣	Valve	裂果的一个果瓣片，成熟时与其它果瓣片分离。	One of the segments of a dehiscent fruit, separating from other such segments at maturity.
油道	Vitta（pl. vittae）	伞形科植物果实心皮壁上的油管。	An oil tube in the carpel walls of the fruits of the Umbelliferae (Apiaceae).
附果	Accessory fruit	由多汁花托而不是由雌蕊发育成的肉质果实。成熟子房为花托表面的小瘦果，如草莓。	A fleshy fruit developing from a succulent receptacle rather than the pistil. The ripened ovaries are small achenes on the surface of the receptacle, as in the strawberry.
瘦果	Achene	单室、单种子的不开裂小干果，种子仅在一点与子房壁相连，如向日葵。	A small, dry, indehiscent fruit with a single locule and a single seed, and with the seed attached to the ovary wall at a single point, as in the sunflower.
槲果	Acorn	橡树类植物不开裂的坚硬干果，具单枚大的种子和杯状基部。	The hard, dry, indehiscent fruit of oaks, with a single, large seed and a cuplike base.
聚合果	Aggregate fruit	通常指由单花的许多离生雌蕊形成的一簇或一组小型肉质果，如悬钩子的簇生小坚果。	Usually applied to a cluster or group of small fleshy fruits originating from a number of separate pistils in a single flower, as in the clustered drupelets of the raspberry.
瘦果	Akene	单室、单种子的不开裂小干果，种子仅在一点与子房壁相连，如向日葵。	A small, dry, indehiscent fruit with a single locule and a single seed, and with the seed attached to the ovary wall at a single point, as in the sunflower.
掺花果	Anthocarp	除果皮外，还有花的某些部分共同参与形成的果实。	A fruit with some portion of the flower besides the pericarp persisting.
假种皮	Aril	种皮的肉质加厚，形似真正的果实，如红豆杉属植物。	A fleshy thickening of the seed coat which resembles a true fruit, as in Taxus.
浆果	Berry	由单枚雌蕊发育成的肉质果实，具有几个或多个种子，如番茄；有时也泛指通体肉质或多汁的果实，即无果核。	A fleshy fruit developing from a single pistil, with several or many seeds, as the tomato. Sometimes applied to any fruit which is fleshy or pulpy throughout, I.e. lacking a pit or core.
刺果	Bur(or burr.)	常具钩、倒刺或附属物的果实。	A fruit armed with often hooked or barbed spines or appendages.
蒴果	Capsule	由两个或多个心皮形成的开裂干果。	A dry, dehiscent fruit composed of more than one carpel.
颖果	Cariopsis	种皮和果皮愈合，具一枚种子的不开裂干果，如禾本科植物的果实； 谷粒。	A dry, one-seeded, indehiscent fruit with the seed coat fused to the pericarp, as in the fruits of the grass family; a grain.
颖果	Caryopsis	种皮和果皮愈合，具一枚种子的不开裂干果，如禾本科植物的果实； 谷粒。	A dry, one-seeded, indehiscent fruit with the seed coat fused to the pericarp, as in the fruits of the grass family; a grain.
周裂蒴果	Circumscissile capsule	沿横向环线开裂的蒴果，其顶部分离呈盖状。	A capsule dehiscing along a transverse circular line, so that the top separates like a lid.
分果	Cremocarp	不开裂的干果，成熟时分开成为数个含一个种子的果瓣（心皮）	A dry, indehiscent fruit which splits into separate one-seeded segments (carpels) at maturity.
核果	Drupe	不开裂的肉质果实，通常具单个种子并由石质内果皮包围，如桃子或樱桃。	A fleshy, indehiscent fruit with a stony endocarp surrounding a usually single seed as in a peach or cherry.
小核果	Drupelet	小的核果，如悬钩子果实中的单个果。	A small drupe, as in the individual segments of a raspberry fruit.
蓇葖果	Follicle	由单个心皮形成的沿一侧开裂的干果，如马利筋。	A dry, dehiscent fruit composed of a single carpel and opening along a single side, as a milkweed pod.
种子状结构，颖果	Grain	类似种子的结构，如酸膜属 的果实； 颖果。	A seed-like structure, as in the fruit of some Rumex species; a caryopsis.
离生的	Distinct	分离；不与相似的部分相连。	Separate;not attached to like parts. (compare connate).
花冠上着生的	Epipetalous	着生在花瓣上。	Attached to the petals.
分离的	Free	不与其它器官相连。	Not attached to other organs.
雌雄蕊合体的	Gynandrous	雄蕊贴生于雌蕊上。	With the stamens adnate to the pistil.
雌雄蕊合体的	Gynostemial	雄蕊贴生于雌蕊上。	With the stamens adnate to the pistil.
单体雄蕊的	Monadelphous	雄蕊的花丝联合，形成围绕雌蕊群的管。	Stamens united by the filaments and forming a tube around the gynoecium.
雄蕊附着花冠的	Petalostemonous	雄蕊花丝与花冠结合，花药与花冠分离。	With the staminal filaments fused to the corolla and the anthers free.
多体的	Polyadelphous	分离成几束着生，如某些花的雄蕊。	Borne in several distinct groups, as the stamens of some flowers.
聚药的	Synandrous	具联合的花药。	With united anthers.
聚药的	Syngenesious	具花药联合的雄蕊。	With stamens united by their anthers.
基着的	Basifixed	花药以基部着生。	With the anther attached by the base.
背着的	Dorsifixed	花药背部着生。	With the anther attached at the back.
丁字着的	Versatile	花药以近中部而非端部着生。	With the anther attached near the middle rather that at one end.
纵裂的	Longitudinal	沿着花药长轴开裂。	Dehiscing along the long axis of the anther.
孔裂的	Poricidal	通过一个孔开裂。	Dehiscing through a pore.
横裂的	Transverse	沿着与花药长轴成直角的方向开裂。	Dehiscing at a right angle to the long axis of the anther.
瓣裂的	Valvular	通过瓣下的小孔开裂。	Dehiscing through flap-covered pores.
雌雄蕊柄	Androgynophore	某些花中着生雄蕊和雌蕊的柄。	Stalk supporting the androecrium and gynoecium in some flowers.
心皮	Carpel	组成单雌蕊或复合雌蕊的变态叶。	A simple pistil formed from one modified leaf, or that part of a compound pistil formed from one modified leaf.
果柄	Carpopodium	着生子房的柄。	A stipe supporting an ovary.
室	Cell	子房中的空腔或室；小室。	A hollow cavity or compartment within an ovary; a locule.
合点	Chalaza	胚珠或种子中珠被和珠心联合的部位，与珠孔相对。	The part of an ovule or seed where the integuments are connected to the nucellus, at the opposite end from the micropyle.
隔膜	Dissepiment	隔，如子房室中的隔。	A partition, as the partitions separation the locules of an ovary.
胚囊	Embryo sac	有花植物胚珠内的雌配子体。	The megagametophyte within the ovule of a flowering plant.
珠柄	Funicle	连接胚珠与胎座的柄；种子的柄。	The stalk connecting the ovule to the placenta; the stalk of a seed.
合蕊柱	Gynandrium	着生雄蕊和雌蕊的柱状结构	A column bearing stamens and pistils.
雌蕊基	Gynobase	花托的伸长或膨大，如紫草科的花。	An elongation or enlargement of the receptacle, as in the flowers of the Boraginaceae.
雌蕊柄	Gynophore	某些花中着生雌蕊的伸长的柄。	An elongated stalk bearing the pistil in some flowers.
珠被	Integument	胚珠的被层，将来发育成种皮。	The covering of the ovule which will become the seed coat.
侵入	Intrusion	向内突入，如胎座突入子房室。	Protrusion into, as placentae into the cell of an ovary.
具单雌蕊的	Monogynous	具一个心皮。	With one carpel.
八雌蕊的，八花柱的	Octogynous	具八个雌蕊或花柱。	With eight pistils or styles.
多心皮的	Polycarpous	具多个心皮。	With many carpels.
多雌蕊的，多花柱的	Polygynous	具多个雌蕊或花柱。	With many pistils or styles.
假单基数的	Pseudomonomerous	实由离生结构愈合而成却看似单一的结构，如看似单心皮的雌蕊，实为两个或多个心皮组成。	A structure which appears to be simple, though actually derived from the fusion of separate structures, as a pistil which appears to be composed of a single carpel, though actually composed of two or more carpels.
单心皮的	Stylodious	具单单个离生的心皮。	With a single, free carpel.
三心皮的	Tricarpellary	具三个心皮。	With three carpels.
单心皮的	Unicarpellous	具单单个离生的心皮。	With a single, free carpel.
离心皮的	Apocarpous	花中的心皮形成离生的雌蕊，如毛茛科植物。	A flower with carpels forming separate pistils, as in a buttercup. (compare Syncarpous).
复[合]子房	Compound  ovary	由两个或多个心皮组成的子房。	An ovary ovary of two or more carpels.
分离的	Free	不与其它器官相连	Not attached to other organs.
雌雄蕊合体的	Gynandrial	雄蕊贴生在雌蕊上。	With the stamens adnate to the pistil.
雌雄蕊合体的	Gynandrous	雄蕊贴生在雌蕊上。	With the stamens adnate to the pistil.
雌雄蕊合体的	Gynostemial	雄蕊贴生在雌蕊上。	With the stamens adnate to the pistil.
半离心皮的	Semicarpous	具心皮部分地结合，花柱和柱头分离的子房。	With ovaries of carpels partly fused, the styles and stigmas separate.
单子房	Simple ovary	子房只由一个心皮构成	An ovary composed of only one carpel.
合心皮的	Syncarpous	具联合的心皮。	With united carpels. (compare apocarpous).
半下位的	Half-inferior	在下半部分着生，如具托杯的花，托杯与子房的下半部分合生，其它花轮看似由子房的近中部发出。	Attached below the lower half, as a flower with a hypanthium that is fused to the lower half of the ovary, giving the appearance that the other floral whorls are arising from about the middle of the ovary.
下位的	Inferior	在下面着生，如着生在其它花轮着生点以下的子房，这些花轮看似由子房顶部发出。	Attached beneath, as an ovary that is attached beneath the point of attachment of the other floral whorls which appear, therefore, to arise from the top of the ovary.
无雄蕊的	Anandrous	没有雄蕊；无雄蕊群。	Without stamens; lacking an androecium.
无雄蕊的	Astemonous	没有雄蕊。	Without stamens.
两雄蕊的	Diandrous	具有两枚雄蕊。	With two stamens.
单轮雄蕊的	Haplostemonous	雄蕊与花瓣数目相同。	With as many stamens as petals.
单雄蕊的	Monandrous	具有单枚雄蕊。	With a single stamen.
八雄蕊的	Octandrous	具有八枚雄蕊。	With eight stamens.
八雄蕊的	Octostemonous	具有八枚雄蕊。	With eight stamens.
少雄蕊的	Oligandrous	具少数几枚雄蕊。	With few stamens.
五雄蕊的	Pentandrous	具有五枚雄蕊。	With five stamens.
多雄蕊的	Polyandrous	具有多枚雄蕊（通常多于十）。	With many stamens (usually more than ten).
多雄蕊的	Polystemonous	具有多枚雄蕊。	With many stamens.
互生的	Alternate	雄蕊生于花瓣之间。 （对比 对生的)。	Stamens borne between the  petals. (compare opposite).
对瓣的	Antepetalous	(雄蕊)正对着花瓣着生。	Directly in front of (opposite) the petals.
对萼的	Antesepalous	(雄蕊) 正对着萼片着生。	Directly in front of (opposite) the sepals.
对瓣的	Antipetalous	(雄蕊)正对着花瓣着生。	Directly in front of (opposite) the petals.
对萼的	Antesepalous	(雄蕊) 正对着萼片着生	Directly in front of (opposite) the sepals.
二强雄蕊的	Didynamous	具有两对不等长的雄蕊；成对出现的。	With two pairs of stamens of unequal length; occurring in pairs.
具外轮对萼雄蕊的	Diplostemonous	具有两轮雄蕊，外轮对着萼片，内轮对着花瓣；雄蕊数是花瓣数的二倍。	With two series of stamens, the outer series opposite the sepals and the inner series opposite the petals; with twice as many stamens as petals.
外曲的	Excurved	离轴 ，向外弯曲	Curing outward, away from the axis.
突出的	Exserted	雄蕊突出于花冠。	Stamens protruding from the corolla.
外向的	Extrorse	离轴，朝向外侧。	Turned outward, away from the axis. (compare introse)
具单轮雄蕊的	Haplostemonous	具一轮雄蕊。	With one series of stamens.
内藏的	Included	雄蕊不伸出花冠。	Stamens not projecting beyond the corolla.
内弯的	Incurved	向内弯曲，朝向轴面	Curving inward, toward the axis.
内向的	Introrse	向轴，朝向内侧。	Turned inward, toward the axis. (compare extrorse)
具外轮对瓣雄蕊的	Obdiplostemonous	具有两轮雄蕊，外轮对着花瓣，内轮对着萼片。	Having two whorls of stamens, the outer whorl opposite the petals and the inner whorl opposite the sepals.
对生的	Opposite	雄蕊与花瓣着生在同一半径轴上。	Stamens borne on the same radius as the petals. (compare alternate)
显雄蕊的	Phaenantherous	具伸出花冠的雄蕊。	With stamens exserted from the corolla.
多体的	Polyadelphous	具有几束离生的雄蕊。	Borne in several distinct groups. (compare monadelphous and diadelphous) .
四强雄蕊的	Tetradynamous	具有四枚长雄蕊和两枚短雄蕊，如大多数十字花科植物。	Having four long and two short stamens, as in most of the Curcifeae (Brassicaceae)
三强雄蕊的	Tridynamous	具两束雄蕊，每束三枚。	With stamens arranged in two groups of three.
附着的	Adherent	不同的部分粘附在一起，如花药粘附于花柱上。结合程度不如贴生的（adnate）牢固。	Sticking together of unlike parts, as the anthers to the style. The attachment is not as firm or solid as adnate.
贴生的	Adnate	不同的部分结合在一起，如雄蕊贴生于花冠上。	Fusion of unlike parts, as the stamens to the corolla. (compare connate)
离生雄蕊的	Apostemonous	具离生的雄蕊。	With separate stamens.
贴伏的	Appressed	紧压或平靠另一器官。	Pressed close or flat against another organ.
紧靠的	Approximate	紧密生长在一起，但并不结合。	Borne close together, but not fused.
愈合的	Coalescent	联合在一起形成一个单位	United together to form a single unit.
连着的	Coherent	相似的部分粘在一起。其结合程度不如合生的（connate）牢固。	Sticking together of like parts. The attachment is not as firm or solid as connate.
合生的	Connate	相似部分的结合，如雄蕊的花丝合生成筒。	Fusion of like parts, as the fusion of staminal filaments into a tube. (compare adnate).
靠合的	Connivent	聚合 ，但并非真正结合或联合。	Converging, but not actually fused or united.
二体雄蕊的	Diadelphous	雄蕊由花丝联合成通常数目不等的两束	Stamens united into two, often unequal, sets by their filaments.
柑果	Hesperidium	具坚韧果皮的浆果状肉质果实，如柠檬或柑橘。	A fleshy berry-like fruit with a tough rind, as a lemon or orange.
蔷薇果	Hip	由膨大的托杯包围多数瘦果形成的 浆果状结构。	A berry-like structure composed of an enlarged hypanthium surrounding numerous achenes.
荚果	Legume	由单个心皮形成的通常沿两条缝开裂的干果，如豆荚。	A dry, dehiscent fruit derived from a single carpel and usually opening along two lines of dehiscence, as a pea pod.
室背开裂蒴果	Loculicidal capsule	沿果室而不是沿隔膜开裂的蒴果（对比室间开裂和孔裂的）。	A capsule dehiscing through the locules of a fruit rather than through the septa. (compare septicidal and poricidal).
节荚	Loment	在种子之间缢缩的荚果	A legume which is constricted between the seeds.
节荚	Lomentum（pl. lomenta）	在种子之间缢缩的荚果。	A legume which is constricted between the seeds.
